email,password,query 
sushantkaushik88@gmail.com,P@ssw0rd@123,metroCities=New+York+City&skills=5-336-Data+Visualization&skills=5-130-Business+Intelligence&roles=role_k7-2-Engineering&dateRange=all
Himani885+901@gmail.com,P@ssw0rd@123,countries=India&skills=5-1082-Software+Testing&seniority=Junior&education=Bachelor&education=Master&dateRange=all
himani885+902@gmail.com,P@ssw0rd@123,countries=Egypt&skills=3-15-Cloud+Development&skills=5-1075-Software+Architecture&skills=5-184-Cloud+Integration&roles=role_k7-7-Information+Technology&roles=role_k150-26-Consultant&seniority=Manager&education=MBA&company=2-271-IT+Services+and+Digital+Transformation+Agencies&dateRange=1y
himani885+903@gmail.com,P@ssw0rd@123,countries=India&countries=Pakistan&skills=3-71-Healthcare+Quality+Oversight&skills=5-580-Health+Information&skills=6-2010-Health+Information+Protection&skills=6-2615-Medical+Classification&skills=6-2008-Health+Information&seniority=Associate&education=Bachelor&education=MBA&company=2-371-Public+Administration+and+Government+Services&dateRange=all
sushantkaushik88+901@gmail.com,P@ssw0rd@123,metroCities=Delhi&metroCities=Bengaluru&metroCities=Mumbai&seniority=Associate&title=Software+Engineer&dateRange=all
sushantkaushik88+902@gmail.com,P@ssw0rd@123,regions=Arab+States&education=MBA&title=Teacher&dateRange=all
Himani885+904@gmail.com,P@ssw0rd@123,metroCities=Istanbul&metroCities=Turkey+Non-Metro&metroCities=Ankara&metroCities=Izmir&skills=3-103-Patient+Care&skills=3-118-Retail+Sales&roles=role_k7-10-Office+Support&roles=role_k7-6-Hospitality+Staff&roles=role_k150-128-Security+Professional&roles=role_k150-87-Office+Administrator&roles=role_k1500-619-General+Administrator&roles=role_k1500-964-Office+Executive&education=Bachelor&dateRange=2y
Himani885+905@gmail.com,P@ssw0rd@123,countries=India&countries=Pakistan&skills=3-71-Healthcare+Quality+Oversight&skills=5-580-Health+Information&skills=6-2010-Health+Information+Protection&skills=6-2615-Medical+Classification&skills=6-2008-Health+Information&seniority=Associate&education=Bachelor&education=MBA&company=2-371-Public+Administration+and+Government+Services&dateRange=all
sushantkaushik88+903@gmail.com,P@ssw0rd@123,countries=Egypt&skills=3-15-Cloud+Development&skills=5-1075-Software+Architecture&skills=5-184-Cloud+Integration&roles=role_k7-7-Information+Technology&roles=role_k150-26-Consultant&seniority=Manager&education=MBA&company=2-271-IT+Services+and+Digital+Transformation+Agencies&dateRange=1y
sushantkaushik88+905@gmail.com,P@ssw0rd@123,regions=Arab+States&education=MBA&title=Teacher&dateRange=all
